,TransactionID,Date,Region,Store,ProductCategory,Product,Quantity,UnitPrice,TotalAmount,Year
0,1,2023-06-19,Sur,Tienda A,Lácteos,Leche,7,40.03,280.21,2023
1,2,2023-09-29,Este,Tienda C,Verduras,Papa,15,36.87,553.05,2023
2,3,2023-04-30,Norte,Tienda D,Snacks,Nachos,7,22.85,159.95,2023
3,4,2023-04-16,Oeste,Tienda D,Verduras,Papa,11,23.5,258.5,2023
4,5,2024-12-03,Oeste,Tienda B,Bebidas,Agua,4,8.0,32.0,2024
5,6,2023-11-30,Norte,Tienda B,Frutas,Manzana,3,2.01,6.03,2023
6,7,2023-11-29,Oeste,Tienda D,Frutas,Banano,2,36.38,72.76,2023
7,8,2023-04-18,Sur,Tienda C,Lácteos,Queso,6,1.04,6.24,2023
8,9,2023-12-21,Sur,Tienda C,Bebidas,Agua,1,15.91,15.91,2023
9,10,2024-08-26,Norte,Tienda A,Verduras,Tomate,12,2.13,25.56,2024
10,11,2023-08-15,Oeste,Tienda D,Lácteos,Mantequilla,10,3.29,32.9,2023
11,12,2023-11-03,Este,Tienda B,Frutas,Mango,16,12.41,198.56,2023
12,13,2024-01-08,Sur,Tienda D,Verduras,Zanahoria,15,31.3,469.5,2024
13,14,2024-04-10,Este,Tienda A,Carnes,Cerdo,12,26.2,314.4,2024
14,15,2024-06-26,Este,Tienda D,Frutas,Banano,3,43.14,129.42,2024
15,16,2023-01-17,Sur,Tienda A,Carnes,Res,7,9.36,65.52,2023
16,17,2023-11-19,Este,Tienda B,Carnes,Cerdo,7,1.65,11.55,2023
17,18,2024-07-14,Este,Tienda A,Lácteos,Yogurt,14,40.61,568.54,2024
18,19,2023-03-09,Oeste,Tienda C,Verduras,Tomate,9,1.78,16.02,2023
19,20,2023-12-07,Oeste,Tienda B,Frutas,Banano,2,34.53,69.06,2023
20,21,2023-03-24,Este,Tienda D,Frutas,Manzana,15,34.48,517.2,2023
21,22,2024-02-01,Sur,Tienda C,Lácteos,Yogurt,12,25.26,303.12,2024
22,23,2024-06-14,Sur,Tienda B,Bebidas,Agua,15,9.49,142.35,2024
