TransactionID,Date,Region,Product,Quantity,UnitPrice,TotalAmount
1,2023-01-01,Sur,Teclado,9,389,3501
2,2023-01-02,,Laptop,1,118,118
3,2023-01-03,Oeste,Laptop,1,83,83
4,2023-01-04,Este,Impresora,4,311,1244
5,2023-01-05,Norte,Teclado,9,102,918
6,2023-01-06,Norte,Laptop,6,499,2994
7,2023-01-07,Norte,Laptop,3,254,762
8,2023-01-08,Oeste,Monitor,1,175,175
9,2023-01-09,Este,Laptop,4,284,1136
10,2023-01-10,Oeste,Laptop,9,92,828
11,2023-01-11,Norte,Teclado,3,289,867
12,2023-01-12,,Monitor,9,420,3780
13,2023-01-13,Oeste,Monitor,7,160,1120
14,2023-01-14,Norte,Mouse,4,298,1192
15,2023-01-15,Norte,Monitor,3,200,600
16,2023-01-16,Norte,Mouse,5,232,1160
17,2023-01-17,Sur,Mouse,5,385,1925
18,2023-01-18,Este,Monitor,3,144,432
19,2023-01-19,Sur,Teclado,9,423,3807
20,2023-01-20,Sur,Monitor,4,449,1796
21,2023-01-21,Este,Monitor,5,57,285
22,2023-01-22,Norte,Teclado,4,437,1748
23,2023-01-23,Sur,Laptop,5,409,2045
24,2023-01-24,Sur,Mouse,7,437,3059
25,2023-01-25,Sur,Mouse,9,233,2097
26,2023-01-26,Oeste,Mouse,7,330,2310
27,2023-01-27,Norte,,5,244,1220
28,2023-01-28,Este,Mouse,7,401,2807
29,2023-01-29,Este,Impresora,5,244,1220
30,2023-01-30,Norte,Teclado,3,204,612
31,2023-01-31,Este,Monitor,7,142,994
32,2023-02-01,Norte,Teclado,2,209,418
33,2023-02-02,Norte,Teclado,9,483,4347
34,2023-02-03,,Teclado,1,110,110
35,2023-02-04,,Laptop,6,171,1026
36,2023-02-05,Oeste,Monitor,7,100,700
37,2023-02-06,Sur,Mouse,8,452,3616
38,2023-02-07,Norte,Laptop,9,326,2934
39,2023-02-08,Este,Teclado,2,54,108
40,2023-02-09,Sur,Laptop,2,141,282
41,2023-02-10,Norte,Impresora,5,219,1095
42,2023-02-11,Sur,,5,366,1830
43,2023-02-12,Norte,Impresora,6,71,426
44,2023-02-13,,Mouse,3,454,1362
45,2023-02-14,Sur,Laptop,8,375,3000
46,2023-02-15,Este,Impresora,1,50,50
47,2023-02-16,Sur,Mouse,6,182,1092
48,2023-02-17,Este,,4,282,1128
49,2023-02-18,Este,,1,61,61
