TransactionID,Date,Region,Product,Quantity,UnitPrice,TotalAmount
1,2024-01-01 00:00:00.000000000,Sur,Monitor,9,389,3501
2,2024-01-01 10:51:15.376884422,,Laptop,1,118,118
3,2024-01-01 21:42:30.753768844,Oeste,Laptop,1,83,83
4,2024-01-02 08:33:46.130653266,Este,Impresora,4,311,1244
5,2024-01-02 19:25:01.507537688,Norte,Monitor,9,102,918
6,2024-01-03 06:16:16.884422110,Norte,Laptop,6,499,2994
7,2024-01-03 17:07:32.261306532,Norte,Laptop,3,254,762
8,2024-01-04 03:58:47.638190954,Oeste,Monitor,1,175,175
9,2024-01-04 14:50:03.015075376,Este,Laptop,4,284,1136
10,2024-01-05 01:41:18.391959799,Oeste,Laptop,9,92,828
11,2024-01-05 12:32:33.768844221,Norte,Monitor,3,289,867
12,2024-01-05 23:23:49.145728643,,Monitor,9,420,3780
13,2024-01-06 10:15:04.522613065,Oeste,Monitor,7,160,1120
14,2024-01-06 21:06:19.899497487,Norte,Mouse,4,298,1192
15,2024-01-07 07:57:35.276381909,Norte,Monitor,3,200,600
16,2024-01-07 18:48:50.653266331,Norte,Mouse,5,232,1160
17,2024-01-08 05:40:06.030150753,Sur,Mouse,5,385,1925
18,2024-01-08 16:31:21.407035175,Este,Impresora,3,144,432
19,2024-01-09 03:22:36.783919598,Sur,Monitor,9,423,3807
20,2024-01-09 14:13:52.160804020,Sur,Impresora,4,449,1796
21,2024-01-10 01:05:07.537688442,Este,Monitor,5,57,285
22,2024-01-10 11:56:22.914572864,Norte,Monitor,4,437,1748
23,2024-01-10 22:47:38.291457286,Sur,Laptop,5,409,2045
24,2024-01-11 09:38:53.668341708,Sur,Teclado,7,437,3059
25,2024-01-11 20:30:09.045226130,Sur,Mouse,9,233,2097
26,2024-01-12 07:21:24.422110552,Oeste,Mouse,7,330,2310
27,2024-01-12 18:12:39.798994974,Norte,,5,244,1220
28,2024-01-13 05:03:55.175879397,Este,Teclado,7,401,2807
29,2024-01-13 15:55:10.552763819,Este,Impresora,5,244,1220
30,2024-01-14 02:46:25.929648241,Norte,Monitor,3,204,612
